Make,Model,Type,Origin,DriveTrain,MSRP ($),Invoice ($),EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820.0,21761.0,2.0,4.0,200.0,27.0,31.0,2778.0,101.0,172.0
Acura,TSX 4dr,Sedan,Asia,Front,26990.0,24647.0,2.4,4.0,200.0,25.0,29.0,3230.0,105.0,183.0
Acura,TL 4dr,Sedan,Asia,Front,33195.0,30299.0,3.2,6.0,270.0,23.0,28.0,3575.0,108.0,186.0
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755.0,39014.0,3.5,6.0,225.0,21.0,24.0,3880.0,115.0,197.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100.0,41100.0,3.5,6.0,225.0,21.0,24.0,3893.0,115.0,197.0
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765.0,79978.0,3.2,6.0,290.0,20.0,24.0,3153.0,100.0,174.0
Audi,A4 1.8T 4dr,Sedan,Europe,Front,25940.0,23508.0,1.8,4.0,170.0,25.0,31.0,3252.0,104.0,179.0
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,35940.0,32506.0,1.8,4.0,170.0,26.0,30.0,3638.0,105.0,180.0
Audi,A4 3.0 4dr,Sedan,Europe,Front,31840.0,28846.0,3.0,6.0,220.0,23.0,28.0,3462.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,33430.0,30366.0,3.0,6.0,220.0,20.0,26.0,3583.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,34480.0,31388.0,3.0,6.0,220.0,21.0,25.0,3627.0,104.0,179.0
Audi,A6 3.0 4dr,Sedan,Europe,Front,36640.0,33129.0,3.0,6.0,220.0,23.0,27.0,3561.0,109.0,192.0
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,39640.0,35992.0,3.0,6.0,220.0,21.0,25.0,3880.0,109.0,192.0
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,42490.0,38325.0,3.0,6.0,220.0,23.0,27.0,3814.0,105.0,180.0
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,42840.0,38840.0,2.7,6.0,250.0,21.0,25.0,3836.0,109.0,192.0
Audi,S4 Quattro 4dr,Sedan,Europe,All,48040.0,43556.0,4.2,8.0,340.0,17.0,20.0,3825.0,104.0,179.0
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,35940.0,32512.0,1.8,4.0,180.0,23.0,28.0,3131.0,95.0,159.0
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,37390.0,33891.0,1.8,4.0,225.0,23.0,28.0,2921.0,96.0,159.0
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,40590.0,36739.0,3.2,6.0,250.0,24.0,29.0,3351.0,96.0,159.0
Audi,S4 Avant Quattro,Wagon,Europe,All,49090.0,44446.0,4.2,8.0,340.0,18.0,21.0,3936.0,104.0,179.0
BMW,325i 4dr,Sedan,Europe,Rear,28495.0,26155.0,2.5,6.0,184.0,23.0,29.0,3219.0,107.0,176.0
BMW,325Ci 2dr,Sedan,Europe,Rear,30795.0,28245.0,2.5,6.0,184.0,23.0,29.0,3197.0,107.0,177.0
,,,,,32774.85514018692,30014.70093457944,3.196728971962617,5.807511737089202,215.8855140186916,23.060747663551403,26.843457943925234,3577.9532710280373,108.15420560747664,186.36214953271028
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,37995.0,34800.0,2.5,6.0,184.0,22.0,27.0,3560.0,107.0,177.0
BMW,325xi 4dr,Sedan,Europe,All,30245.0,27745.0,2.5,6.0,184.0,22.0,27.0,3461.0,107.0,176.0
BMW,330i 4dr,Sedan,Europe,Rear,35495.0,32525.0,3.0,6.0,225.0,23.0,30.0,3285.0,107.0,176.0
BMW,330Ci 2dr,Sedan,Europe,Rear,36995.0,33890.0,3.0,6.0,225.0,23.0,30.0,3285.0,107.0,176.0
BMW,330xi 4dr,Sedan,Europe,All,37245.0,34115.0,3.0,6.0,225.0,23.0,29.0,3483.0,107.0,176.0
BMW,525i 4dr,Sedan,Europe,Rear,39995.0,36620.0,2.5,6.0,184.0,22.0,28.0,3428.0,114.0,191.0
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,44295.0,40530.0,3.0,6.0,225.0,22.0,28.0,3616.0,107.0,177.0
BMW,530i 4dr,Sedan,Europe,Rear,44995.0,41170.0,3.0,6.0,225.0,23.0,30.0,3472.0,114.0,191.0
,,,,,32774.85514018692,30014.70093457944,3.196728971962617,5.807511737089202,215.8855140186916,23.060747663551403,26.843457943925234,3577.9532710280373,108.15420560747664,186.36214953271028
BMW,545iA 4dr,Sedan,Europe,Rear,54995.0,50270.0,4.4,8.0,325.0,21.0,26.0,3814.0,114.0,191.0
BMW,M3 coupe 2dr,Sports,Europe,Rear,48195.0,44170.0,3.2,6.0,333.0,19.0,24.0,3415.0,108.0,177.0
BMW,M3 convertible 2dr,Sports,Europe,Rear,56595.0,51815.0,3.2,6.0,333.0,19.0,23.0,3781.0,108.0,177.0
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,33895.0,31065.0,2.5,6.0,184.0,23.0,28.0,2932.0,98.0,161.0
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,41045.0,37575.0,3.0,6.0,225.0,24.0,29.0,2998.0,98.0,161.0
BMW,325xi Sport,Wagon,Europe,All,32845.0,30110.0,2.5,6.0,184.0,22.0,26.0,3594.0,107.0,176.0
Buick,Century Custom 4dr,Sedan,USA,Front,22180.0,20351.0,3.1,6.0,175.0,23.0,30.0,3353.0,109.0,195.0
Buick,LeSabre Custom 4dr,Sedan,USA,Front,26470.0,24282.0,3.8,6.0,205.0,23.0,29.0,3567.0,112.0,200.0
Buick,Regal LS 4dr,Sedan,USA,Front,24895.0,22835.0,3.8,6.0,200.0,23.0,30.0,3461.0,109.0,196.0
Buick,Regal GS 4dr,Sedan,USA,Front,28345.0,26047.0,3.8,6.0,240.0,21.0,28.0,3536.0,109.0,196.0
Buick,LeSabre Limited 4dr,Sedan,USA,Front,32245.0,29566.0,3.8,6.0,205.0,23.0,29.0,3591.0,112.0,200.0
Buick,Park Avenue 4dr,Sedan,USA,Front,35545.0,32244.0,3.8,6.0,205.0,23.0,29.0,3778.0,114.0,207.0
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,40720.0,36927.0,3.8,6.0,240.0,21.0,28.0,3909.0,114.0,207.0
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,30835.0,28575.0,3.6,6.0,255.0,21.0,25.0,3694.0,113.0,190.0
Cadillac,Deville 4dr,Sedan,USA,Front,45445.0,41650.0,4.6,8.0,275.0,21.0,26.0,3984.0,115.0,207.0
Cadillac,Seville SLS 4dr,Sedan,USA,Front,47955.0,43841.0,4.6,8.0,275.0,21.0,26.0,3992.0,112.0,201.0
Cadillac,XLR convertible 2dr,Sports,USA,Rear,76200.0,70546.0,4.6,8.0,320.0,20.0,25.0,3647.0,106.0,178.0
Chevrolet,Tracker,SUV,USA,Front,20255.0,19108.0,2.5,6.0,165.0,22.0,22.0,2866.0,98.0,163.0
Chevrolet,Aveo 4dr,Sedan,USA,Front,11690.0,10965.0,1.6,4.0,103.0,31.0,34.0,2370.0,98.0,167.0
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,12585.0,11802.0,1.6,4.0,103.0,31.0,34.0,2348.0,98.0,153.0
Chevrolet,Cavalier 2dr,Sedan,USA,Front,14610.0,13697.0,2.2,4.0,140.0,29.0,37.0,2617.0,104.0,183.0
Chevrolet,Cavalier 4dr,Sedan,USA,Front,14810.0,13884.0,2.2,4.0,140.0,29.0,37.0,2676.0,104.0,183.0
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,16385.0,15357.0,2.2,4.0,140.0,29.0,37.0,2617.0,104.0,183.0
